subj,month,audio_age_days
1,6,197
1,7,226
1,8,261
1,9,289
1,10,317
1,11,345
1,12,379
1,13,408
1,14,435
1,15,472
1,16,499
1,17,534
2,6,203
2,7,228
2,8,252
2,9,281
2,10,308
2,11,339
2,12,371
2,13,399
2,14,427
2,15,460
2,16,494
2,17,521
3,6,190
3,7,218
3,8,249
3,9,277
3,10,307
3,11,339
3,12,369
3,13,400
3,14,432
3,15,460
3,16,490
3,17,521
4,6,194
4,7,218
4,8,251
4,9,280
4,10,306
4,11,341
4,12,370
4,13,401
4,14,427
4,15,463
4,16,490
4,17,4170
6,6,192
6,7,220
6,8,255
6,9,283
6,10,311
6,11,346
6,12,375
6,13,406
6,14,431
6,15,464
6,16,486
6,17,530
7,6,195
7,7,216
7,8,251
7,9,278
7,10,321
7,11,335
7,12,370
7,13,398
7,14,426
7,15,453
7,16,489
7,17,524
8,6,193
8,7,221
8,8,249
8,9,277
8,10,312
8,11,339
8,12,368
8,13,402
8,14,432
8,15,466
8,16,494
8,17,522
9,6,192
9,7,217
9,8,249
9,9,278
9,10,312
9,11,339
9,12,368
9,13,402
9,14,430
9,15,466
9,16,497
9,17,523
10,6,191
10,7,219
10,8,246
10,9,280
10,10,302
10,11,337
10,12,373
10,13,408
10,14,429
10,15,464
10,16,491
10,17,520
11,6,187
11,7,222
11,8,250
11,9,285
11,10,306
11,11,333
11,12,369
11,13,403
11,14,432
11,15,459
11,16,488
11,17,523
12,6,191
12,7,217
12,8,248
12,9,277
12,10,307
12,11,340
12,12,371
12,13,398
12,14,430
12,15,461
12,16,493
12,17,528
13,6,189
13,7,220
13,8,252
13,9,280
13,10,308
13,11,344
13,12,378
13,13,400
13,14,437
13,15,458
13,16,497
13,17,525
14,6,191
14,7,213
14,8,248
14,9,278
14,10,307
14,11,340
14,12,368
14,13,397
14,14,431
14,15,459
14,16,496
14,17,523
15,6,191
15,7,216
15,8,247
15,9,275
15,10,313
15,11,335
15,12,367
15,13,400
15,14,430
15,15,463
15,16,491
15,17,529
