file,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present,utrel,oprel
10_06,2502370,2503250,avocado,n,n,d,n,FALSE,TRUE
10_06,2579400,2580470,banana,q,y,d,n,FALSE,FALSE
10_06,2635980,2639390,banana,d,y,d,n,TRUE,FALSE
10_06,2709230,2710790,baby,d,n,d,y,TRUE,FALSE
10_06,2881610,2883970,milk,d,y,d,n,TRUE,FALSE
10_06,3089480,3090740,bubble,d,y,q,n,FALSE,FALSE
10_06,3098390,3099830,tablecloth,n,y,q,y,FALSE,TRUE
10_06,3159750,3160950,spitty,n,y,d,y,FALSE,TRUE
10_06,3230380,3232690,tree,n,n,d,n,FALSE,TRUE
10_06,3340190,3340790,tickle+toe,n,y,d,y,FALSE,TRUE
17_06,4080900,4082120,spinach,n,y,d,y,FALSE,TRUE
17_06,4118510,4119510,salads,d,n,d,y,TRUE,FALSE
17_06,4153570,4154890,toaster,n,y,d,n,FALSE,FALSE
17_06,4174760,4176130,milk,q,n,d,n,FALSE,TRUE
17_06,4210820,4217500,chia+seeds,n,y,d,y,FALSE,TRUE
17_06,4210820,4217500,nuts,n,y,d,y,FALSE,TRUE
17_06,4210820,4217500,fruit,n,y,d,y,FALSE,TRUE
17_06,4246100,4247220,toaster,d,y,i,y,FALSE,TRUE
17_06,4317810,4318530,oats,n,n,s,n,FALSE,TRUE
17_06,4317810,4318530,oats,n,n,s,n,FALSE,TRUE
17_06,4319760,4321200,bananas,n,n,s,n,FALSE,TRUE
17_06,4322880,4325460,oats,n,n,s,n,FALSE,TRUE
17_06,4322880,4325460,oats,n,n,s,n,FALSE,TRUE
17_06,4322880,4325460,oats,n,n,s,n,FALSE,TRUE
17_06,4325460,4326460,bananas,n,n,s,n,FALSE,TRUE
17_06,4546250,4547570,elephant,d,y,n,y,FALSE,TRUE
17_06,4555520,4556630,elephant,d,y,n,y,FALSE,TRUE
17_06,4715350,4716350,cat,q,n,d,n,FALSE,TRUE
17_06,5815410,5816930,teeth,d,y,d,n,TRUE,FALSE
17_06,6272610,6274190,probiotics,n,y,q,n,FALSE,FALSE
17_06,6534610,6535650,salad,d,y,d,n,TRUE,FALSE
17_06,6545480,6546550,oatmeal,d,y,d,n,TRUE,FALSE
17_06,6547420,6548420,spoon,q,n,q,y,TRUE,FALSE
17_06,6612880,6614670,spoon,i,y,d,y,FALSE,TRUE
17_06,6637180,6639800,blender,n,y,d,y,FALSE,TRUE
17_06,6637180,6639800,top,n,y,d,y,FALSE,TRUE
17_06,6637180,6639800,top,q,y,d,y,FALSE,TRUE
17_06,6674940,6676200,ice,n,y,n,n,TRUE,FALSE
17_06,6676200,6677580,ice,d,y,d,n,TRUE,FALSE
19_06,35843160,35844380,hair,d,n,d,y,TRUE,FALSE
19_06,36110670,36111870,rice+krispies,d,n,d,y,TRUE,FALSE
19_06,36132580,36133580,dress,d,n,d,y,TRUE,FALSE
19_06,36376600,36378450,ladybug,q,n,d,y,FALSE,FALSE
19_06,36376600,36378450,skirt,q,n,d,y,FALSE,FALSE
19_06,36480150,36482640,dresses,d,n,d,y,TRUE,FALSE
19_06,36535740,36537120,pants,d,n,d,y,TRUE,FALSE
19_06,36887900,36889790,bottom,d,y,d,n,TRUE,FALSE
19_06,36926940,36928140,Raggedy+ruth,n,y,d,y,FALSE,TRUE
19_06,36945130,36946150,dolly,r,y,n,n,FALSE,FALSE
19_06,36946750,36951750,window,d,n,n,n,FALSE,TRUE
19_06,36946750,36951750,stars,d,n,n,n,FALSE,TRUE
19_06,36946750,36951750,toe,r,y,n,n,FALSE,FALSE
19_06,36946750,36951750,heel,d,y,n,n,FALSE,FALSE
19_06,36951750,36952760,toe,d,y,n,n,FALSE,FALSE
19_06,36951750,36952760,heel,d,y,n,n,FALSE,FALSE
19_06,36952760,36954160,toe,d,y,n,n,FALSE,FALSE
19_06,36952760,36954160,heel,d,y,n,n,FALSE,FALSE
19_06,36959520,36962600,baby,n,y,n,n,TRUE,FALSE
19_06,36963220,36964340,baby+doll,n,y,n,n,TRUE,FALSE
19_06,36965250,36966250,baby,n,y,n,n,TRUE,FALSE
19_06,37083370,37087010,hands,i,y,d,y,FALSE,TRUE
19_06,37207190,37208190,hannies,i,y,i,n,TRUE,FALSE
19_06,37298670,37302680,baggies,q,n,n,n,FALSE,TRUE
19_06,37336090,37338730,bag,d,n,q,n,FALSE,TRUE
19_06,37507060,37508950,milk,d,y,d,n,TRUE,FALSE
19_06,37663900,37664730,cats,d,n,n,n,FALSE,TRUE
19_06,38127160,38128610,fingers,d,y,d,n,TRUE,FALSE
19_06,38222380,38223490,hands,d,y,d,n,TRUE,FALSE
19_06,38225640,38226240,fingers,d,y,q,n,FALSE,FALSE
19_06,38228700,38229980,fist,q,y,d,y,FALSE,TRUE
19_06,38229980,38230670,mouth,q,y,d,y,FALSE,TRUE
19_06,38281820,38285040,hair,d,y,i,y,FALSE,TRUE
19_06,38318490,38319640,cats,d,n,q,n,FALSE,TRUE
19_06,38645890,38647210,mouse,n,y,n,n,TRUE,FALSE
19_06,38645890,38647210,fish,n,y,n,n,TRUE,FALSE
19_06,38648030,38649480,sheep,n,y,n,n,TRUE,FALSE
19_06,38648030,38649480,butterfly,n,y,n,n,TRUE,FALSE
19_06,38650280,38651280,piggy,n,y,n,n,TRUE,FALSE
35_06,39806920,39807840,tummy,n,y,s,y,FALSE,TRUE
35_06,39806920,39807840,tummy,n,y,s,y,FALSE,TRUE
35_06,39806920,39807840,tummy,n,y,s,y,FALSE,TRUE
35_06,39806920,39807840,tummy,d,y,s,y,FALSE,TRUE
35_06,39806920,39807840,arms,d,y,s,y,FALSE,TRUE
35_06,39806920,39807840,arms,d,y,s,y,FALSE,TRUE
35_06,39806920,39807840,legs,d,y,s,y,FALSE,TRUE
35_06,39806920,39807840,legs,d,y,s,y,FALSE,TRUE
35_06,39842210,39843240,kangaroo,r,n,r,y,TRUE,FALSE
35_06,39858370,39859940,book,i,y,d,y,FALSE,TRUE
35_06,40008670,40009670,turtle,q,n,q,y,TRUE,FALSE
35_06,40161290,40162290,legs,r,y,d,y,FALSE,TRUE
35_06,40173690,40174760,legs,q,y,r,y,FALSE,TRUE
35_06,40212460,40213590,baby,r,y,d,y,FALSE,TRUE
35_06,40767170,40770810,diaper,d,n,d,y,TRUE,FALSE
35_06,40771970,40773010,vest,d,n,d,y,TRUE,FALSE
23_06,12812550,12814430,dog,n,n,n,y,TRUE,FALSE
23_06,13192660,13193660,play+pen,d,n,d,y,TRUE,FALSE
23_06,13277810,13278920,castle,d,n,q,n,FALSE,TRUE
23_06,13278920,13280670,castle,d,n,q,n,FALSE,TRUE
23_06,13455020,13460140,hands,i,n,d,n,FALSE,TRUE
23_06,13834430,13848560,van,i,n,d,n,FALSE,TRUE
23_06,14265460,14266460,food,d,n,d,y,TRUE,FALSE
23_06,14273470,14275280,fork,n,n,n,y,TRUE,FALSE
23_06,14446910,14447910,pants,d,n,n,n,FALSE,TRUE
23_06,14446910,14447910,shirt,d,n,n,n,FALSE,TRUE
23_06,14511560,14512560,food,d,n,i,y,FALSE,FALSE
23_06,14836000,14836800,toilet,n,n,d,n,FALSE,TRUE
23_06,15755130,15756190,stairs,d,n,q,n,FALSE,TRUE
23_06,15845930,15848170,diaper,d,n,d,y,TRUE,FALSE
23_06,15862990,15863990,diaper,d,n,d,y,TRUE,FALSE
