file,word,orig_utt_type,orig_present,new_utt_type,new_present,onset,offset
10_07,bubbles,d,n,d,n,8878560,8879560
10_07,cape,d,y,d,y,8926320,8928970
10_07,princess,d,n,d,n,8932000,8932600
10_07,high+heel+shoes,q,n,q,y,8941000,8942670
10_07,fingers,d,y,d,y,8969290,8970090
10_07,fingers,d,y,d,y,8974970,8976410
10_07,fingers,d,y,d,y,8977010,8978300
10_07,hand,d,y,d,y,9019930,9020930
10_07,mucus,d,n,d,n,9029330,9033190
10_07,apples,d,y,d,y,9041660,9042500
10_07,apples,q,y,q,y,9042500,9046070
10_07,cape,i,y,i,n,9051320,9054020
10_07,cape,q,y,q,n,9055220,9058140
10_07,cape,q,y,q,n,9055220,9058140
10_07,tray,d,y,d,y,9067770,9068370
10_07,highchair,d,y,d,y,9124630,9126500
10_07,tray,q,y,d,y,9132960,9133770
10_07,tray,q,y,d,y,9136320,9137120
10_07,tray,d,y,d,y,9137120,9139840
10_07,tray,d,y,d,y,9137120,9139840
10_07,highchair,d,y,d,y,9139840,9140350
10_07,tray,d,y,d,y,9140440,9144020
10_07,highchair,d,y,d,y,9140440,9144020
10_07,mucus,i,n,i,n,9187830,9189410
10_07,nosey,d,y,d,y,9197310,9199290
10_07,roller+coaster,q,n,q,n,9213160,9214930
10_07,boogers,d,y,d,y,9216340,9220330
10_07,roller+coaster,q,n,q,n,9226200,9227470
10_07,gloves,q,y,q,y,9235230,9238590
10_07,roller+coaster,d,n,d,n,9242440,9247080
10_07,roller+coaster,d,n,d,n,9242440,9247080
10_07,roller+coaster,q,n,q,n,9248700,9250430
10_07,roller+coaster,q,n,q,n,9256480,9257530
10_07,glove,d,n,d,y,9272040,9273310
10_07,glove,d,n,d,y,9273310,9274630
10_07,glove,d,n,d,y,9284180,9285030
10_07,teeth,q,n,q,n,9298480,9300380
10_07,teeth,d,n,d,n,9302220,9303240
10_07,snowplow,d,n,d,n,9309440,9310580
10_07,toothbrush,d,n,d,n,9316500,9318040
10_07,teeth,i,n,i,n,9365630,9367150
10_07,apples,i,y,i,y,9369530,9375770
10_07,apples,i,y,i,y,9369530,9375770
10_07,apples,i,y,i,y,9369530,9375770
10_07,apples,d,y,d,y,9380210,9381600
10_07,teeth,d,y,d,y,9387030,9388030
10_07,teethies,d,y,d,y,9392000,9393690
10_07,teeth,d,n,d,y,9395170,9397210
10_07,tooth,q,n,d,n,9408240,9409680
10_07,bear,q,n,d,n,9408240,9409680
10_07,story,q,n,d,n,9408240,9409680
10_07,teeth,d,n,d,n,9418330,9420580
10_07,tooth,d,n,d,n,9420580,9425400
10_07,bear,d,n,d,n,9420580,9425400
10_07,roller+coaster,d,n,d,n,9433440,9434850
10_07,roller+coaster,q,n,q,n,9435450,9436770
10_07,car,i,n,i,n,9449630,9451220
10_07,roller+coaster+store,d,n,d,n,9453600,9454430
10_07,roller+coaster+store,q,n,q,n,9456250,9463810
10_07,nose,d,y,d,y,9463810,9465540
10_07,car,d,y,d,y,9545370,9547880
10_07,high+heels,d,y,d,y,9550710,9554930
10_07,roller+coaster+store,d,n,d,n,9574490,9575910
10_07,roller+coaster+store,q,n,q,n,9575910,9577660
10_07,car,d,n,d,y,9584360,9584980
10_07,roller+coaster+store,d,n,d,n,9587340,9591490
10_07,roller+coaster+store,i,n,i,n,9592660,9594350
10_07,car,i,n,i,y,9592660,9594350
10_07,wheel,d,n,o,o,9600340,9605510
10_07,sticker+chart,d,y,d,y,9606890,9613870
10_07,roller+coaster+store,d,n,d,n,9638260,9651570
10_07,roller+coaster+store,q,n,q,n,9685360,9686190
10_07,purse,d,y,d,y,9686190,9687380
10_07,credit+card,d,y,d,y,9687380,9688220
10_07,purse,d,y,i,y,9689730,9692490
10_07,credit+card,d,y,i,y,9689730,9692490
10_07,roller+coaster,d,n,d,n,9694480,9696170
10_07,chicken,d,n,d,n,9736890,9738380
10_07,chicken,d,n,d,n,9738380,9740300
10_07,gloves,d,y,i,n,9769820,9772250
10_07,credit+card,q,n,q,n,9775840,9777880
10_07,roller+coaster,d,n,d,n,9778680,9780730
10_07,roller+coaster+store,d,n,d,n,9782180,9783000
10_07,gas,q,n,q,n,9843940,9844650
10_07,roller+coaster,q,n,q,n,9914530,9915810
