file,start,startime_time
09_07,2/11/15 6:15,6:15:00 AM
25_06,4/27/15 8:25,8:25:00 AM
34_07,6/25/15 6:40,6:40:00 AM
18_06,3/14/15 7:45,7:45:00 AM
46_06,8/8/15 10:05,10:05:00 AM
10_07,2/15/15 9:15,9:15:00 AM
01_06,11/22/14 7:25,7:25:00 AM
22_07,5/15/15 6:15,6:15:00 AM
33_06,5/28/15 6:45,6:45:00 AM
17_06,3/17/15 7:25,7:25:00 AM
06_07,2/8/15 8:50,8:50:00 AM
41_07,7/28/15 6:50,6:50:00 AM
46_07,9/3/15 9:15,9:15:00 AM
01_07,12/21/14 8:00,8:00:00 AM
10_06,1/18/15 7:35,7:35:00 AM
18_07,4/11/15 7:45,7:45:00 AM
34_06,5/30/15 6:20,6:20:00 AM
25_07,6/1/15 10:00,10:00:00 AM
09_06,1/17/15 8:45,8:45:00 AM
06_06,1/11/15 8:50,8:50:00 AM
17_07,4/14/15 7:00,7:00:00 AM
41_06,7/3/15 8:05,8:05:00 AM
33_07,6/27/15 6:25,6:25:00 AM
22_06,4/11/15 7:15,7:15:00 AM
11_06,1/25/15 9:20,9:20:00 AM
19_07,4/16/15 7:40,7:40:00 AM
35_06,6/15/15 8:05,8:05:00 AM
08_06,1/11/15 9:05,9:05:00 AM
40_06,6/22/15 6:35,6:35:00 AM
07_06,1/11/15 12:10,12:10:00 PM
16_07,4/3/15 8:30,8:30:00 AM
32_07,6/29/15 6:30,6:30:00 AM
23_06,4/12/15 8:25,8:25:00 AM
08_07,2/8/15 8:05,8:05:00 AM
24_06,4/25/15 7:55,7:55:00 AM
35_07,7/20/15 7:15,7:15:00 AM
19_06,3/19/15 7:20,7:20:00 AM
11_07,3/1/15 8:10,8:10:00 AM
23_07,5/9/15 8:20,8:20:00 AM
32_06,5/24/15 9:05,9:05:00 AM
40_07,7/21/15 7:10,7:10:00 AM
16_06,3/8/15 9:20,9:20:00 AM
07_07,2/1/15 7:35,7:35:00 AM
26_07,6/6/15 8:10,8:10:00 AM
37_06,6/14/15 11:10,11:10:00 AM
13_06,2/8/15 7:55,7:55:00 AM
02_07,1/12/15 8:40,8:40:00 AM
45_07,9/4/15 8:20,8:20:00 AM
21_06,4/10/15 7:30,7:30:00 AM
30_07,6/21/15 6:05,6:05:00 AM
42_06,7/3/15 7:10,7:10:00 AM
14_07,3/10/15 11:35,11:35:00 AM
38_06,6/20/15 6:05,6:05:00 AM
29_07,6/14/15 6:30,6:30:00 AM
02_06,12/18/14 7:50,7:50:00 AM
13_07,3/11/15 9:30,9:30:00 AM
45_06,8/7/15 6:30,6:30:00 AM
37_07,7/8/15 7:40,7:40:00 AM
26_06,5/8/15 7:30,7:30:00 AM
42_07,7/28/15 6:50,6:50:00 AM
29_06,5/17/15 6:00,6:00:00 AM
38_07,7/12/15 6:30,6:30:00 AM
14_06,2/16/15 10:15,10:15:00 AM
30_06,5/16/15 7:30,7:30:00 AM
21_07,5/9/15 6:40,6:40:00 AM
44_06,8/3/15 4:10,4:10:00 AM
03_06,12/29/14 7:55,7:55:00 AM
12_07,3/5/15 7:50,7:50:00 AM
36_07,7/8/15 7:15,7:15:00 AM
27_06,5/12/15 9:00,9:00:00 AM
04_07,1/30/15 8:35,8:35:00 AM
28_06,5/11/15 10:20,10:20:00 AM
39_07,7/16/15 8:05,8:05:00 AM
15_06,2/21/15 7:45,7:45:00 AM
43_07,8/11/15 7:25,7:25:00 AM
31_06,5/22/15 6:50,6:50:00 AM
20_07,4/28/15 7:00,7:00:00 AM
27_07,6/6/15 6:25,6:25:00 AM
36_06,6/13/15 8:10,8:10:00 AM
44_07,9/7/15 8:35,8:35:00 AM
12_06,2/7/15 10:05,10:05:00 AM
03_07,1/26/15 6:55,6:55:00 AM
20_06,3/31/15 7:25,7:25:00 AM
31_07,6/24/15 6:30,6:30:00 AM
15_07,3/18/15 8:30,8:30:00 AM
39_06,6/23/15 8:25,8:25:00 AM
28_07,6/8/15 8:25,8:25:00 AM
04_06,1/6/15 7:40,7:40:00 AM
43_06,7/10/15 10:05,10:05:00 AM
