file,onset,time,bl_lena
01_06,23400000,ms,bl
01_06,39300000,ms,lena
01_07,25200000,ms,bl
01_07,12900000,ms,lena
02_06,17700000,ms,bl
02_06,23400000,ms,lena
02_07,9900000,ms,bl
02_07,29100000,ms,lena
03_06,3900000,ms,bl
03_06,15900000,ms,lena
03_07,18600000,ms,bl
03_07,18300000,ms,lena
04_06,27600000,ms,bl
04_06,31200000,ms,lena
04_07,5400000,ms,bl
04_07,36600000,ms,lena
06_06,1200000,ms,bl
06_06,1200000,ms,lena
06_07,15600000,ms,bl
06_07,15000000,ms,lena
07_06,6600000,ms,bl
07_06,17700000,ms,lena
07_07,14100000,ms,bl
07_07,14700000,ms,lena
08_06,13200000,ms,bl
08_06,36600000,ms,lena
08_07,38700000,ms,bl
08_07,4800000,ms,lena
09_06,20100000,ms,bl
09_06,40800000,ms,lena
09_07,11100000,ms,bl
09_07,21900000,ms,lena
10_06,0,ms,bl
10_06,18600000,ms,lena
10_07,39900000,ms,bl
10_07,39000000,ms,lena
11_06,18900000,ms,bl
11_06,10500000,ms,lena
11_07,1800000,ms,bl
11_07,30300000,ms,lena
12_06,0,ms,bl
12_06,27600000,ms,lena
12_07,8400000,ms,bl
12_07,42900000,ms,lena
13_06,33900000,ms,bl
13_06,33900000,ms,lena
13_07,39000000,ms,bl
13_07,39900000,ms,lena
14_06,6900000,ms,bl
14_06,300000,ms,lena
14_07,27900000,ms,bl
14_07,300000,ms,lena
15_06,38700000,ms,bl
15_06,600000,ms,lena
15_07,3600000,ms,bl
15_07,17100000,ms,lena
16_06,16500000,ms,bl
16_06,17100000,ms,lena
16_07,2100000,ms,bl
16_07,1800000,ms,lena
17_06,11100000,ms,bl
17_06,37500000,ms,lena
17_07,24900000,ms,bl
17_07,3900000,ms,lena
18_06,300000,ms,bl
18_06,24600000,ms,lena
18_07,13500000,ms,bl
18_07,21000000,ms,lena
19_06,39000000,ms,bl
19_06,900000,ms,lena
19_07,32400000,ms,bl
19_07,2100000,ms,lena
20_06,300000,ms,bl
20_06,3300000,ms,lena
20_07,34500000,ms,bl
20_07,300000,ms,lena
21_06,18600000,ms,bl
21_06,37500000,ms,lena
21_07,36300000,ms,bl
21_07,27300000,ms,lena
22_06,20100000,ms,bl
22_06,29700000,ms,lena
22_07,31800000,ms,bl
22_07,35100000,ms,lena
23_06,39000000,ms,bl
23_06,31800000,ms,lena
23_07,38100000,ms,bl
23_07,12000000,ms,lena
25_06,0,ms,bl
25_06,19200000,ms,lena
25_07,0,ms,bl
25_07,18900000,ms,lena
26_06,38700000,ms,bl
26_06,37500000,ms,lena
26_07,31800000,ms,bl
26_07,30900000,ms,lena
27_06,1500000,ms,bl
27_06,16500000,ms,lena
27_07,11700000,ms,bl
27_07,45600000,ms,lena
28_06,26100000,ms,bl
28_06,21900000,ms,lena
28_07,38400000,ms,bl
28_07,40500000,ms,lena
29_06,44100000,ms,bl
29_06,37200000,ms,lena
29_07,11100000,ms,bl
29_07,600000,ms,lena
30_06,25500000,ms,bl
30_06,10200000,ms,lena
30_07,47700000,ms,bl
30_07,48000000,ms,lena
31_06,19800000,ms,bl
31_06,26400000,ms,lena
31_07,27900000,ms,bl
31_07,20700000,ms,lena
32_06,28500000,ms,bl
32_06,14700000,ms,lena
32_07,48600000,ms,bl
32_07,30300000,ms,lena
33_06,16200000,ms,bl
33_06,33600000,ms,lena
33_07,42000000,ms,bl
33_07,20700000,ms,lena
34_06,37800000,ms,bl
34_06,26700000,ms,lena
34_07,33600000,ms,bl
34_07,16500000,ms,lena
35_06,38400000,ms,bl
35_06,39000000,ms,lena
35_07,38700000,ms,bl
35_07,32400000,ms,lena
36_06,0,ms,bl
36_06,36600000,ms,lena
36_07,600000,ms,bl
36_07,30900000,ms,lena
37_06,13500000,ms,bl
37_06,30900000,ms,lena
37_07,0,ms,bl
37_07,29100000,ms,lena
38_06,43500000,ms,bl
38_06,28800000,ms,lena
38_07,33600000,ms,bl
38_07,42900000,ms,lena
39_06,900000,ms,bl
39_06,29700000,ms,lena
39_07,20100000,ms,bl
39_07,20100000,ms,lena
40_06,10200000,ms,bl
40_06,2700000,ms,lena
40_07,15000000,ms,bl
40_07,15900000,ms,lena
41_06,3900000,ms,bl
41_06,37200000,ms,lena
41_07,43800000,ms,bl
41_07,11700000,ms,lena
42_06,5700000,ms,bl
42_06,39000000,ms,lena
42_07,13200000,ms,bl
42_07,14100000,ms,lena
43_06,12600000,ms,bl
43_06,30600000,ms,lena
43_07,46500000,ms,bl
43_07,50400000,ms,lena
44_06,15600000,ms,bl
44_06,30300000,ms,lena
44_07,1200000,ms,bl
44_07,0,ms,lena
45_06,12600000,ms,bl
45_06,41700000,ms,lena
45_07,25500000,ms,bl
45_07,33900000,ms,lena
46_06,35100000,ms,bl
46_06,35100000,ms,lena
46_07,6900000,ms,bl
46_07,900000,ms,lena
