file,ordinal,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
10_07,1,2467623,2470433,toes,d,y,r,y
10_07,2,2516848,2522895,Blue+hat+green+hat,d,y,d,y
10_07,3,2524818,2527643,hat,r,y,r,y
10_07,4,2524818,2527644,hat,r,y,r,y
10_07,5,2524818,2527644,hat,r,y,r,y
10_07,6,2529931,2533093,hats,q,y,q,y
10_07,7,2533094,2534130,hat,d,y,d,y
10_07,8,2534131,2535753,hat,q,y,q,n
10_07,9,2544163,2547448,shirt,r,y,r,n
10_07,10,2545650,2546179,shirt,r,y,r,n
17_07,1,692073,693499,smoothie,d,n,d,n
17_07,2,694421,695816,spinach,d,n,d,y
17_07,3,696843,697867,spinach,d,n,d,y
17_07,4,699372,700952,spinach,q,n,q,y
17_07,5,699372,700952,cup,q,n,q,n
17_07,6,701603,702459,smoothie,q,n,q,n
17_07,7,702626,703866,smoothie,d,n,d,n
17_07,8,708249,711628,bag,n,y,n,y
17_07,10,745348,746738,smoothie,d,n,q,n
17_07,9,745348,746738,spinach,d,y,q,y
17_07,11,750003,750902,milk,d,n,q,n
17_07,12,750902,751836,water,d,n,q,n
17_07,13,757720,758649,milk,i,n,i,y
17_07,14,761388,762044,milk,q,y,q,y
17_07,15,762056,762976,cup,q,n,q,n
17_07,16,763935,765918,milk,q,y,d,y
17_07,17,767067,769544,smoothie,n,n,d,n
17_07,18,773451,776551,cup,d,n,d,y
17_07,19,786109,787119,milk,q,y,q,y
17_07,20,787408,788284,almond+milk,d,y,d,y
17_07,21,788284,789593,almond+milk,n,y,n,y
17_07,22,801328,803033,smoothie,d,n,d,n
17_07,23,803108,805111,bag,n,y,d,y
17_07,24,877186,878643,blueberries,q,n,q,n
17_07,25,878589,880395,milk,n,n,d,y
17_07,26,881805,883108,probiotics,q,n,q,n
17_07,27,886842,887866,smoothie,d,n,n,y
17_07,28,889823,891063,probiotics,d,n,d,n
17_07,29,927957,929755,probiotics,d,n,d,y
17_07,30,945157,947017,spoon,d,y,d,y
17_07,31,979227,980404,camcorder,d,n,d,n
17_07,32,991194,993147,rug,d,y,d,y
17_07,33,1025804,1028967,blueberry,q,n,o,o
17_07,34,1031920,1033004,banana,q,n,q,n
17_07,35,1034096,1036111,banana,q,n,q,n
17_07,36,1036842,1038207,smoothie,d,n,d,n
19_07,1,527195,528123,basket,d,y,d,n
19_07,2,537287,539518,shakers,d,y,d,n
19_07,3,557837,559325,Armand,d,y,d,y
19_07,4,557837,559325,tag,d,y,d,n
19_07,5,564490,565906,Armand,d,y,d,y
19_07,6,567250,568767,Sophie,d,n,d,n
19_07,7,574314,575264,mouth,d,y,d,y
19_07,8,589449,590968,tag,q,y,q,y
19_07,9,595225,596616,tag,q,n,q,n
19_07,10,597553,598730,tag,d,n,d,n
19_07,11,619433,620827,basket,q,y,q,n
19_07,12,645009,645851,Sophie,q,y,q,y
19_07,13,646535,649572,Sophie,n,y,q,y
19_07,14,646535,649572,Armand,n,y,q,y
19_07,15,666311,667394,hat,d,y,i,y
19_07,16,710897,712322,drawstrings,q,y,q,y
19_07,17,733120,734401,hat,d,y,d,y
19_07,18,744105,745157,bottle,q,n,q,n
19_07,19,777823,778843,book,q,n,q,y
19_07,20,779555,780607,book,d,y,d,y
19_07,21,780000,783860,The+alphabet+and+counting+too,r,y,d,y
19_07,22,792053,794160,butterflies,q,y,q,y
19_07,23,798177,800741,pot,r,y,r,y
19_07,24,798177,800741,honey,r,y,r,y
19_07,25,803951,805004,apples,r,y,r,y
19_07,26,810206,811941,bees,r,y,r,y
19_07,27,811942,814198,Pooh,r,y,r,y
19_07,28,816165,817062,flowers,r,y,r,y
19_07,29,819155,820579,Roo,r,y,r,y
19_07,30,820580,821944,page,q,y,q,y
19_07,31,823894,825536,balloons,r,y,r,y
32_07,1,1936675,1939000,ice+cream,d,n,d,n
32_07,2,1963602,1966113,sauce,d,n,d,n
32_07,3,1966114,1968314,cat,d,n,d,y
32_07,4,1969595,1972509,poop,d,n,d,n
32_07,5,1969595,1972509,butt,d,n,d,n
32_07,6,1994500,1996603,scissors,d,n,d,n
32_07,7,2005999,2008199,box,d,n,d,n
32_07,8,2008200,2009355,box,q,n,q,n
32_07,9,2009355,2010639,box,d,n,d,n
32_07,10,2011850,2013771,diapers,d,n,d,n
32_07,11,2061886,2065481,weeds,d,n,d,n
32_07,12,2092988,2095467,muffler,d,n,d,n
32_07,13,2092988,2095467,box,d,n,d,n
32_07,14,2095468,2098103,car,d,n,d,n
32_07,15,2100582,2103751,bricks,d,n,d,n
35_07,1,2095289,2096589,Willies+pictures,d,y,d,y
35_07,2,2096590,2103535,Willies+pictures,d,y,d,y
35_07,3,2103536,2111191,pictures,r,y,r,y
35_07,4,2111192,2113764,picture,r,y,r,n
35_07,5,2121500,2124328,sand+castle,r,y,r,n
35_07,6,2124329,2128078,castle,r,y,r,n
35_07,7,2131242,2135147,dots,r,y,r,y
35_07,8,2138279,2141036,park,r,y,r,y
35_07,9,2146486,2149432,grass,r,n,r,n
35_07,10,2156071,2159170,dog,r,y,r,y
35_07,11,2169596,2172510,swimming+pool,r,n,r,n
35_07,12,2180106,2181097,painting,r,y,r,n
35_07,13,2204007,2206952,net,r,y,r,y
35_07,14,2213865,2217057,window,r,n,r,y
35_07,15,2220994,2222265,nose,d,n,d,n
35_07,16,2227195,2229674,invitation,r,n,r,n
35_07,17,2245299,2246818,hat,d,y,d,y
23_07,1,93233,94318,head,d,n,d,n
23_07,2,95609,97190,robot,n,n,n,n
26_07,1,1476448,1477439,door,d,n,d,n
26_07,2,1551857,1553219,train,s,n,s,n
26_07,3,1558964,1562116,train,s,n,s,n
26_07,4,1572181,1573390,rattle,n,y,n,y
26_07,5,1592742,1593981,train,s,n,s,n
26_07,6,1614980,1618260,hammer,q,y,q,y
26_07,7,1635945,1636895,tower,q,n,q,n
26_07,8,1666597,1669200,guitar,i,y,i,y
26_07,9,1705543,1707340,hammer,i,y,i,y
26_07,10,1721445,1723056,hammer,d,y,d,y
26_07,11,1728854,1730774,drum,d,n,d,n
26_07,12,1730775,1734045,drum,q,n,q,n
26_07,13,1734046,1735620,drum,d,n,d,n
26_07,14,1792686,1794141,drum,d,y,d,y
26_07,15,1800688,1801926,maraca,i,y,d,y
06_07,1,1602859,1605679,apples,d,n,d,n
06_07,2,1602859,1605679,chicken,d,n,d,n
06_07,3,1608077,1610679,bib,d,y,d,y
06_07,4,1611377,1614063,drool,n,n,s,n
06_07,5,1643312,1645607,vegetables,d,n,d,n
06_07,6,1643312,1645607,beef,d,n,d,n
06_07,7,1728151,1729112,shells,d,n,d,n
06_07,8,1729160,1730588,sauce,d,n,d,n
06_07,9,1750698,1754480,vegetables,q,y,q,n
06_07,10,1750698,1754480,beef,q,n,q,n
06_07,11,1832595,1834717,beef,d,n,d,n
06_07,12,1835259,1836893,beef,n,n,n,n
06_07,13,1836893,1839136,venison,n,n,n,n
06_07,14,1845516,1853111,tum+tum,d,n,d,n
06_07,15,1865889,1870606,water,d,n,d,n
06_07,16,1870606,1871926,cup,q,n,q,n
06_07,17,1884189,1895561,mouth,d,y,d,n
06_07,18,1907100,1908010,tray,q,y,q,y
06_07,19,1925456,1931066,mouth,d,n,d,n
06_07,20,1996079,1999012,baby,q,n,q,y
06_07,21,2004238,2007646,water,q,y,q,y
06_07,22,2058725,2061824,water,q,y,q,y
07_07,1,627546,628476,piggy,d,y,n,n
07_07,2,630091,633997,duck,q,y,n,n
07_07,3,638840,641628,train,q,n,q,n
07_07,4,646062,649579,train,d,y,d,y
07_07,5,703143,705621,star,n,y,n,n
07_07,6,707144,708937,star,q,y,q,y
07_07,7,710464,712193,square,d,y,d,n
07_07,8,712194,713640,square,n,y,n,n
07_07,9,713641,716202,two,q,n,q,n
07_07,10,719083,722461,toy,d,y,d,y
07_07,11,732164,736564,blocks,i,y,i,n
03_07,1,1271713,1277292,teether,q,y,q,y
03_07,2,1286955,1288739,u,n,y,n,y
03_07,3,1288740,1289718,v,n,y,n,y
03_07,4,1455539,1457336,water,q,y,q,y
03_07,5,1457337,1458759,water,d,y,d,n
03_07,6,1460782,1461866,ball,d,y,d,y
03_07,7,1496618,1500802,packaging,d,y,d,y
03_07,8,1501562,1504045,ball,d,y,o,o
03_07,9,1509563,1511577,hand,d,y,o,o
03_07,10,1550632,1553390,box,d,n,d,n
03_07,11,1553391,1555014,cylinder+box,d,y,d,n
03_07,12,1567693,1569773,Minnie+mouse,d,y,d,y
03_07,13,1611424,1615049,teeth,d,n,d,n
03_07,14,1628932,1630295,ball,d,y,d,y
34_07,1,3005921,3008916,birdies,n,n,n,n
34_07,2,3005921,3008916,birdies,n,n,n,n
37_07,1,37424,38880,camera,i,n,i,n
37_07,2,40875,42796,toy+bin,d,n,i,n
37_07,3,52863,54475,strappies,q,y,d,y
37_07,4,187796,189997,loop,q,n,q,n
37_07,5,202737,205063,hat,d,n,d,y
37_07,6,293234,294339,hands,d,n,d,n
37_07,7,295506,296492,ball,d,n,d,y
37_07,8,296492,297472,hands,d,n,d,y
37_07,9,403178,404077,wheel,d,y,d,y
29_07,1,1581235,1582971,circle,n,y,d,y
29_07,2,1581235,1605452,bee,n,y,d,y
29_07,3,1601331,1605384,anklet,d,y,d,y
29_07,4,1627438,1629110,carpet,q,y,q,y
29_07,5,1633485,1636180,ball,n,y,n,y
29_07,6,1637683,1639170,rattle,n,y,n,y
